#.ttime_rel	Q	CODt	CODs	TSS	NH4	PO4
#d	m3/h	g/m3	g/m3	g/m3	g/m3	g/m3
220.42914	3729.5616	571.38	201.246	257.744	40.29	8.16
220.43262	3241.3751	571.38	201.246	257.744	40.29	8.16
220.43609	2327.8058	571.38	201.246	257.744	40.29	8.16
220.43956	3531.4095	571.38	201.246	257.744	40.29	8.16
220.44303	3371.6078	571.38	201.246	257.744	40.29	8.16
220.44651	3903.2347	571.38	201.246	257.744	40.29	8.16
220.44998	4840.0662	571.38	201.246	257.744	40.29	8.16
220.45345	3583.8442	571.38	201.246	257.744	40.29	8.16
220.45692	4030.4998	571.38	201.246	257.744	40.29	8.16
220.46039	4793.4303	642	215.057	289.6	43.055	8.72
220.46387	2129.4827	642	215.057	289.6	43.055	8.72
220.46734	3236.505	642	215.057	289.6	43.055	8.72
220.47081	5045.4892	642	215.057	289.6	43.055	8.72
220.47428	3617.7465	642	215.057	289.6	43.055	8.72
220.47776	4049.1365	642	215.057	289.6	43.055	8.72
220.48123	4816.7182	642	215.057	289.6	43.055	8.72
220.4847	3468.8875	642	215.057	289.6	43.055	8.72
220.48817	3987.7604	642	215.057	289.6	43.055	8.72
220.49164	3545.9542	642	215.057	289.6	43.055	8.72
220.49512	1224.0412	642	215.057	289.6	43.055	8.72
220.49859	1636.3092	642	215.057	289.6	43.055	8.72
220.50206	3922.4219	706.2	222.949	318.56	44.635	9.04
220.50553	3571.0564	706.2	222.949	318.56	44.635	9.04
220.50901	4155.4772	706.2	222.949	318.56	44.635	9.04
220.51248	5115.2621	706.2	222.949	318.56	44.635	9.04
220.51595	4989.9197	706.2	222.949	318.56	44.635	9.04
220.51942	4891.258	706.2	222.949	318.56	44.635	9.04
220.52289	4819.1135	706.2	222.949	318.56	44.635	9.04
220.52637	3604.2312	706.2	222.949	318.56	44.635	9.04
220.52984	4072.2969	706.2	222.949	318.56	44.635	9.04
220.53331	4905.0604	706.2	222.949	318.56	44.635	9.04
220.53678	4884.5915	706.2	222.949	318.56	44.635	9.04
220.54026	4790.8124	706.2	222.949	318.56	44.635	9.04
220.54373	3521.3322	738.3	217.03	333.04	43.45	8.8
220.5472	3988.2452	738.3	217.03	333.04	43.45	8.8
220.55067	4801.8893	738.3	217.03	333.04	43.45	8.8
220.55414	3453.818	738.3	217.03	333.04	43.45	8.8
220.55762	2579.9725	738.3	217.03	333.04	43.45	8.8
220.56109	4028.0983	738.3	217.03	333.04	43.45	8.8
220.56456	4904.215	738.3	217.03	333.04	43.45	8.8
220.56803	3570.6154	738.3	217.03	333.04	43.45	8.8
220.57151	4050.0143	738.3	217.03	333.04	43.45	8.8
220.57498	4860.2008	738.3	217.03	333.04	43.45	8.8
220.57845	3537.3931	738.3	217.03	333.04	43.45	8.8
220.58192	4051.0556	738.3	217.03	333.04	43.45	8.8
220.58539	4856.5695	757.56	205.192	341.728	41.08	8.32
220.58887	3508.9786	757.56	205.192	341.728	41.08	8.32
220.59234	3994.4321	757.56	205.192	341.728	41.08	8.32
220.59581	4434.0281	757.56	205.192	341.728	41.08	8.32
220.59928	4170.7046	757.56	205.192	341.728	41.08	8.32
220.60275	4175.5323	757.56	205.192	341.728	41.08	8.32
220.60623	4240.5629	757.56	205.192	341.728	41.08	8.32
220.6097	4455.6595	757.56	205.192	341.728	41.08	8.32
