#.t	temp
#d	degC
0.0	11.094399594320482
1.0	10.838353801169648
2.0	11.543128103277049
3.0	12.147294651866837
4.0	12.460742718446529
5.0	12.578947576656844
6.0	12.714579754601264
7.0	12.773317901234659
8.0	12.71514677103719
9.0	12.309704850361175
10.0	12.238044381492006
11.0	11.991800572519145
12.0	11.939919550982301
13.0	11.930503921568672
14.0	11.903561072492511
15.0	11.718294005708884
16.0	11.597602031394203
17.0	11.650351724137998
18.0	11.57881776556767
19.0	11.306946818613522
20.0	11.26574657534249
21.0	11.345669314796401
22.0	11.09898168870803
23.0	11.156560721062604
24.0	11.171980572597091
25.0	11.108345057034196
26.0	10.224533234713977
27.0	8.322960649087209
28.0	9.42581695906434
29.0	9.785234250764603
30.0	10.172885488647594
31.0	10.171042587346527
32.0	8.762074277168484
33.0	9.436042742742758
34.0	10.213240436590404
35.0	9.452956083086066
36.0	8.508209176915777
37.0	8.946886340468929
38.0	9.459241228070184
39.0	9.863716618635952
40.0	10.167662559241696
41.0	10.201288969917972
42.0	10.242294005708795
43.0	10.435111320754714
44.0	10.468923892100166
45.0	10.336489361702162
46.0	10.115247916666691
47.0	10.39719075144507
48.0	10.52899807507216
49.0	10.667152830188712
50.0	10.727534046692604
51.0	10.657345857418111
52.0	10.472579579579515
53.0	10.459472609099299
54.0	10.397705164319275
55.0	10.307996644920756
56.0	9.657382613065293
57.0	9.873762978283333
58.0	10.203403955375272
59.0	10.48499707031246
60.0	10.604068493150688
61.0	10.687771456123535
62.0	10.715609022556425
63.0	10.8465718475074
64.0	11.056526849037402
65.0	11.289206054687451
66.0	11.524437751004058
67.0	11.175943452380972
68.0	10.403102376599666
69.0	10.281470254957497
70.0	10.369306081754747
71.0	10.548443339960187
72.0	10.783414658634543
73.0	10.855859000000017
74.0	10.946022916666736
75.0	11.06304775280896
76.0	11.177447524752466
77.0	11.25492043222004
78.0	10.763160037700287
79.0	9.389558840579715
80.0	9.909801773399051
81.0	10.222867999999993
82.0	10.242884761904754
83.0	10.270396961063684
84.0	10.40511028037384
