#.t	NH4	PO4	Q	CODt	CODs	TSS
#d	g/m3	g/m3	m3/h	g/m3	g/m3	g/m3
220.42914	40.25878906	7.854011516	0	0	0	0
220.43262	40.01464844	7.848	0	0	0	0
220.43609	40.38085938	7.841	0	0	0	0
220.43956	40.45410156	7.8245	0	0	0	0
220.44303	40.40527344	7.808	0	0	0	0
220.44651	40.4296875	7.791523741	0	0	0	0
220.44998	40.47851563	7.775	0	0	0	0
220.45345	40.60058594	7.676	0	0	0	0
220.45692	40.47851563	7.701	0	0	0	0
220.46039	40.57617188	7.675536691	0	0	0	0
220.46387	40.60058594	7.65	0	0	0	0
220.46734	40.77148438	7.555	0	0	0	0
220.47081	40.80200195	7.496	0	0	0	0
220.47428	40.69824219	7.465	0	0	0	0
220.47776	40.79589844	7.434	0	0	0	0
220.48123	40.69824219	7.441	0	0	0	0
220.4847	40.60058594	7.522	0	0	0	0
220.48817	40.86914063	7.438	0	0	0	0
220.49164	40.89355469	7.428513669	0	0	0	0
220.49512	40.69824219	7.419	0	0	0	0
220.49859	40.86914063	7.416	0	0	0	0
220.50206	40.8203125	7.365	0	0	0	0
220.50553	40.82844925	7.313	0	0	0	0
220.50901	40.33203125	7.354	0	0	0	0
220.51248	40.64941406	7.273	0	0	0	0
220.51595	40.4296875	7.207	0	0	0	0
220.51942	40.41137695	7.189	0	0	0	0
220.52289	40.50292969	7.163	0	0	0	0
220.52637	40.625	7.094101512	0	0	0	0
220.52984	40.45410156	7.025401008	0	0	0	0
220.53331	40.4296875	6.956700504	0	0	0	0
220.53678	40.0390625	6.888	0	0	0	0
220.54026	40.25878906	6.976	0	0	0	0
220.54373	40.28320313	7.009	0	0	0	0
220.5472	40.234375	6.978	0	0	0	0
220.55067	39.96582031	6.947	0	0	0	0
220.55414	40.16113281	6.969	0	0	0	0
220.55762	40.234375	6.94	0	0	0	0
220.56109	40.06347656	6.9125	0	0	0	0
220.56456	40.40527344	6.885	0	0	0	0
220.56803	40.33203125	6.828	0	0	0	0
220.57151	40.47851563	6.771	0	0	0	0
220.57498	40.35644531	6.771	0	0	0	0
220.57845	40.38085938	6.771	0	0	0	0
220.58192	40.35644531	6.639	0	0	0	0
220.58539	40.38085938	6.658	0	0	0	0
220.58887	40.38085938	6.65	0	0	0	0
220.59234	40.38085938	6.626844455	0	0	0	0
220.59581	38.54980469	6.60368891	0	0	0	0
220.59928	39.08691406	6.580533365	0	0	0	0
220.60275	39.28222656	6.55737782	0	0	0	0
220.60623	39.50195313	6.534155545	0	0	0	0
220.6097	39.58740234	6.511	0	0	0	0
220.61317	39.74609375	6.486	0	0	0	0
220.61664	39.69726563	6.527293666	0	0	0	0
220.62012	39.57519531	6.568706334	0	0	0	0
220.62359	39.72167969	6.61	0	0	0	0
220.62706	39.50195313	6.705	0	0	0	0
220.63053	39.47753906	6.771	0	0	0	0
220.634	39.47753906	6.820428777	0	0	0	0
220.63748	39.51008987	6.87	0	0	0	0
220.64095	39.40429688	6.929	0	0	0	0
220.64442	39.52636719	6.958305182	0	0	0	0
220.64789	39.50195313	6.987610365	0	0	0	0
220.65137	39.40429688	7.017	0	0	0	0
220.65484	39.55078125	7.081	0	0	0	0
220.65831	39.67285156	7.145	0	0	0	0
220.66178	39.47753906	7.285898488	0	0	0	0
220.66525	39.47753906	7.426796976	0	0	0	0
220.66873	39.40429688	7.568101512	0	0	0	0
220.6722	39.40429688	7.709	0	0	0	0
220.67567	38.94042969	7.886829175	0	0	0	0
220.67914	39.20898438	8.064658349	0	0	0	0
220.68262	39.0625	8.243	0	0	0	0
220.68609	39.03808594	8.434	0	0	0	0
220.68956	39.13574219	8.685	0	0	0	0
220.69303	39.13574219	8.936	0	0	0	0
220.6965	39.11132813	9.056	0	0	0	0
220.69998	39.20898438	9.21	0	0	0	0
220.70345	39.19067383	9.338	0	0	0	0
220.70692	39.28222656	9.426	0	0	0	0
220.71039	39.52636719	9.398539568	0	0	0	0
220.71387	39.6484375	9.371	0	0	0	0
220.71734	39.70540237	9.3455	0	0	0	0
220.72081	40.01464844	9.32	0	0	0	0
220.72428	40.38085938	9.2945	0	0	0	0
220.72775	40.50292969	9.269	0	0	0	0
220.73123	40.79589844	9.364	0	0	0	0
220.7347	41.08886719	9.384	0	0	0	0
220.73817	40.94238281	9.404	0	0	0	0
220.74164	41.06445313	9.404	0	0	0	0
220.74512	40.99121094	9.393	0	0	0	0
220.74859	41.16210938	9.4885	0	0	0	0
220.75206	40.91796875	9.584	0	0	0	0
220.75553	40.96679688	9.671811735	0	0	0	0
220.759	40.57617188	9.75962347	0	0	0	0
220.76248	40.73486328	9.847688265	0	0	0	0
220.76595	40.89355469	9.9355	0	0	0	0
220.76942	41.06445313	10.02331174	0	0	0	0
220.77289	41.015625	10.11112347	0	0	0	0
220.77636	40.84472656	10.19918826	0	0	0	0
220.77984	40.86303711	10.287	0	0	0	0
220.78331	41.13769531	10.3105	0	0	0	0
220.78678	41.22721481	10.334	0	0	0	0
220.79025	41.25976563	10.33832917	0	0	0	0
220.79373	41.45507813	10.34267083	0	0	0	0
220.7972	41.62597656	10.347	0	0	0	0
220.80067	41.796875	10.35132917	0	0	0	0
220.80414	41.84570313	10.35565835	0	0	0	0
220.80761	41.96166992	10.36	0	0	0	0
220.81109	41.95556641	10.345	0	0	0	0
220.81456	42.16918945	10.345	0	0	0	0
220.81803	42.20377731	10.345	0	0	0	0
220.8215	42.33398438	10.345	0	0	0	0
220.82498	42.45605469	10.313	0	0	0	0
220.82845	42.33398438	10.2872963	0	0	0	0
220.83192	42.3828125	10.26159259	0	0	0	0
220.83539	42.67578125	10.23588889	0	0	0	0
220.83886	42.28515625	10.21011111	0	0	0	0
220.84234	42.1875	10.18440741	0	0	0	0
220.84581	42.578125	10.1587037	0	0	0	0
220.84928	42.33398438	10.133	0	0	0	0
220.85275	42.26074219	10.12338193	0	0	0	0
220.85623	42.55371094	10.11373614	0	0	0	0
220.8597	42.72460938	10.10411807	0	0	0	0
220.86317	42.72460938	10.0945	0	0	0	0
220.86664	42.84667969	10.08488193	0	0	0	0
220.87011	42.74902344	10.07523614	0	0	0	0
220.87359	42.87109375	10.06561807	0	0	0	0
220.87706	42.87109375	10.056	0	0	0	0
220.88053	42.91992188	10.02561751	0	0	0	0
220.884	42.84667969	9.995235023	0	0	0	0
220.88748	42.84667969	9.964764977	0	0	0	0
220.89095	42.88330078	9.934382488	0	0	0	0
220.89442	42.89550781	9.904	0	0	0	0
220.89789	42.84057617	9.873617512	0	0	0	0
220.90136	42.63305664	9.843147465	0	0	0	0
220.90484	42.78157425	9.812764977	0	0	0	0
220.90831	42.60253906	9.782382488	0	0	0	0
220.91178	42.78971481	9.752	0	0	0	0
220.91525	42.79785156	9.73	0	0	0	0
220.91873	42.78564453	9.672	0	0	0	0
220.9222	42.79785156	9.679	0	0	0	0
220.92567	42.79785156	9.686	0	0	0	0
220.92914	40.86914063	9.638427419	0	0	0	0
220.93261	41.33300781	9.590717742	0	0	0	0
220.93609	41.52832031	9.543145161	0	0	0	0
220.93956	41.71549606	9.495572581	0	0	0	0
220.94303	41.80297852	9.448	0	0	0	0
220.9465	41.9921875	9.335	0	0	0	0
220.94997	41.94335938	9.309	0	0	0	0
220.95345	41.82128906	9.2155	0	0	0	0
220.95692	41.82128906	9.122	0	0	0	0
220.96039	41.96777344	8.977707914	0	0	0	0
220.96386	41.89453125	8.833	0	0	0	0
220.96734	41.72973633	8.7945	0	0	0	0
220.97081	41.87011719	8.756	0	0	0	0
220.97428	41.67480469	8.694	0	0	0	0
220.97775	41.69921875	8.632	0	0	0	0
220.98122	41.796875	8.608950324	0	0	0	0
220.9847	41.72363281	8.585966883	0	0	0	0
220.98817	41.56087112	8.562983441	0	0	0	0
220.99164	41.55273438	8.54	0	0	0	0
220.99511	41.69921875	8.549820695	0	0	0	0
220.99859	41.56087112	8.55961317	0	0	0	0
