.i_N_BM,0.06,0.07,0.005,3
.i_N_S_F,0.025,0.035,0.005,3
.i_N_S_I,0.0075,0.0125,0.0025,4
.i_N_X_I,0.015,0.025,0.005,3
.i_N_X_S,0.03,0.05,0.01,2
.i_P_BM,0.015,0.025,0.005,3
.i_P_S_F,0.005,0.015,0.005,3
.i_P_X_I,0.005,0.015,0.005,3
.i_P_X_S,0.005,0.015,0.005,3
.i_TSS_BM,0.86,0.94,0.04,2
.i_TSS_X_I,0.72,0.78,0.03,2
.i_TSS_X_S,0.72,0.78,0.03,2
.K_A,2,6,1,0
.K_ALK,0.05,0.15,0.05,2
.K_ALK_AUT,0.25,0.75,0.25,2
.K_F,2,6,1,0
.K_IPP,0.01,0.03,0.01,2
.K_NH,0.02,0.08,0.03,2
.K_NH_AUT,0.5,1.5,0.5,1
.K_NO,0.1,0.6,0.1,1
.K_O,0.1,0.3,0.1,1
.K_O_AUT,0.1,0.9,0.4,1
.K_P,0.005,0.015,0.005,3
.K_PHA,0.005,0.015,0.005,3
.K_PP,0.005,0.015,0.005,3
.K_PS,0.1,0.3,0.1,1
.K_X,0.05,0.15,0.05,2
.K_fe,2,6,1,0
.mu_AUT,0.2,1.2,0.2,1
.mu_H,2,12,2,0
.mu_PAO,0.5,1.5,0.5,1
.Y_AUT,0.23,0.25,0.01,2
.Y_H,0.55,0.7,0.025,3
.Y_PAO,0.55,0.7,0.025,3
.Y_PHA,0.19,0.21,0.01,2
.Y_PO,0.38,0.42,0.02,2
.PST.E_R_XCOD_DW,0.3,0.7,0.1,1
.PST.E_R_XII_DW,0.6,0.95,0.05,2
.in.f_S_A,0.36,0.5,0.02,2
.in.f_S_F,0.37,0.39,0.005,3
.in.f_X_S,0.43,0.7,0.03,2
.in.F_VSS_TSS,0.72,0.76,0.02,2
.SST.f_ns,0.0002,0.002,0.0002,4
.SST.r_H,0.0003,0.0009,0.0001,4
.SST.r_P,0.001,0.009,0.001,3
.SST.v0,200,650,25,0
