.ASU_5.NH4,.ASU_5.NO3,.out_1.TSS
7.2374132,5.59564,0
7.2369486,5.5957996,0
7.2363446,5.5960038,0
7.2356641,5.5962295,0
7.2349961,5.5964467,0
7.2343365,5.5966568,0
7.233685,5.5968601,0
7.2330411,5.5970569,0
7.2324042,5.5972476,0
7.2317739,5.5974324,0
7.2311494,5.5976118,0
7.2305301,5.597786,0
7.2300826,5.5979096,0
7.2294666,5.5980767,0
7.2288717,5.5982348,0
7.2282645,5.5983928,0
7.2276593,5.5985469,0
7.2270545,5.5986977,0
7.2264491,5.5988455,0
7.2258419,5.5989906,0
7.2252318,5.5991334,0
7.2246177,5.599274,0
7.2239983,5.5994129,0
7.2233724,5.5995502,0
7.2227385,5.5996864,0
7.2220955,5.5998218,0
7.2214418,5.5999565,0
7.2207761,5.600091,0
7.2200967,5.6002255,0
7.2194022,5.6003604,0
7.2186909,5.6004961,0
7.2179608,5.6006331,0
7.2172101,5.6007717,0
7.2164365,5.6009126,0
7.2156375,5.6010565,0
7.2148372,5.6011994,0
7.2140476,5.6013397,0
7.2132675,5.6014781,0
7.2124962,5.6016154,0
7.211733,5.6017521,0
7.2109772,5.6018889,0
7.2102282,5.6020264,0
7.2094856,5.6021653,0
7.2088246,5.6022916,0
7.2082292,5.6024078,0
7.2074981,5.6025542,0
7.2067758,5.6027036,0
7.2060583,5.6028573,0
7.2053455,5.6030159,0
7.2046375,5.6031801,0
7.2039343,5.6033504,0
7.2032359,5.6035275,0
7.2025427,5.6037121,0
7.2018548,5.6039047,0
7.2011726,5.604106,0
7.2004965,5.6043164,0
7.1998268,5.6045367,0
7.1997597,5.6045595,0
7.1997263,5.6045709,0
7.1997095,5.6045766,0
7.1997012,5.6045794,0
7.199697,5.6045809,0
7.1996761,5.604588,0
7.1996733,5.604589,0
7.1996727,5.6045892,0
7.1996724,5.6045893,0
7.1996721,5.6045894,0
7.1996717,5.6045895,0
7.1996714,5.6045896,0
7.1996698,5.6045902,0
7.1996618,5.6045929,0
7.1996218,5.6046067,0
7.1996018,5.6046136,0
7.1995918,5.604617,0
7.1995419,5.6046343,0
7.1995224,5.604641,0
7.1995127,5.6046444,0
7.1995113,5.6046449,0
7.1995098,5.6046454,0
7.1995093,5.6046456,0
7.1995088,5.6046458,0
7.1995059,5.6046468,0
7.1994917,5.6046517,0
7.1994208,5.6046765,0
7.1990693,5.6048015,0
7.1983684,5.6050625,0
7.1976807,5.6053351,0
7.1969831,5.6056299,0
7.1962964,5.6059398,0
7.1956445,5.606254,0
7.1950178,5.6065763,0
7.1944113,5.6069089,0
7.1938227,5.6072533,0
7.193251,5.6076104,0
7.1931687,5.6076637,0
7.193114,5.6076995,0
7.1928439,5.6078795,0
7.1928082,5.6079037,10.395308
7.1927711,5.607929,10.394929
7.1925869,5.6080563,10.393075
7.1923043,5.6082572,10.390321
7.1920208,5.6084656,10.387675
7.1917292,5.6086874,10.385074
7.1914288,5.6089238,10.382527
7.1911184,5.6091767,10.380036
7.1907967,5.6094481,10.377608
7.1904617,5.6097409,10.375247
7.1901111,5.6100584,10.372958
7.1897417,5.6104052,10.370748
7.1893602,5.6107764,10.368681
7.1889653,5.6111744,10.366768
7.1885553,5.6116022,10.36502
7.1881281,5.6120632,10.363451
7.1876813,5.6125614,10.362075
7.1872121,5.6131015,10.36091
7.1867169,5.6136892,10.359975
7.1861918,5.6143311,10.359294
7.185648,5.6150147,10.358902
7.185509,5.6151923,10.358851
7.1853276,5.6154257,10.358811
7.185218,5.6155677,10.358803
7.1851096,5.6157088,10.358805
7.1845713,5.6164184,10.358973
7.1839917,5.6171983,10.359424
7.18339,5.6180234,10.36016
7.1827588,5.6189044,10.361195
7.182092,5.6198498,10.362548
7.1813826,5.6208703,10.364247
7.1806222,5.6219787,10.366326
7.1798007,5.6231907,10.368834
7.178905,5.6245265,10.371834
7.177919,5.626012,10.375411
7.1769323,5.6275118,10.379236
7.1759348,5.6290398,10.383318
7.174918,5.6306082,10.387674
7.1738778,5.6322236,10.392316
7.1728122,5.6338895,10.397248
7.1717209,5.6356072,10.402475
7.1706049,5.637377,10.408001
7.1694662,5.6391974,10.413829
7.168308,5.6410664,10.41996
7.1671338,5.6429816,10.4264
7.166665,5.6437526,10.429039
7.16637,5.64424,10.430721
7.1660191,5.6448218,10.432742
7.1658879,5.64504,10.433505
7.1656918,5.6453666,10.43465
7.1647344,5.646974,10.440361
7.1635111,5.6490606,10.447968
7.1623096,5.6511531,10.455835
7.1611005,5.6533117,10.464227
7.1599425,5.655441,10.472812
7.1589325,5.6573608,10.480849
7.1580349,5.6591289,10.488533
7.1572317,5.6607738,10.495958
7.1565119,5.6623126,10.503178
7.1558672,5.6637582,10.510235
7.1552913,5.6651204,10.517161
7.1550997,5.6655922,10.51963
7.154978,5.6658975,10.521248
7.1548774,5.6661536,10.522618
7.1546647,5.6667069,10.525619
7.1544786,5.6672059,10.528377
7.1540332,5.6684708,10.535606
7.1536807,5.669569,10.542192
7.1533781,5.6706179,10.548791
7.1531266,5.6716106,10.555359
7.1531095,5.6716842,10.55586
7.1530948,5.6717477,10.556293
7.1530861,5.6717858,10.556554
7.1530437,5.6719756,10.557862
7.1530061,5.6721497,10.559074
7.1528426,5.6729964,10.565148
7.1527114,5.6738678,10.571746
7.1527064,5.673908,10.572059
7.1527025,5.6739391,10.572303
7.1527009,5.6739528,10.57241
7.1526988,5.67397,10.572545
7.1526887,5.6740555,10.573218
7.1526454,5.6744759,10.576589
7.1525954,5.6752802,10.583346
7.1525929,5.6760103,10.589882
7.1526347,5.6766981,10.596459
7.1526502,5.6768466,10.597938
7.152676,5.6770537,10.600043
7.1526869,5.6771313,10.600844
7.1526925,5.6771691,10.601237
7.1526987,5.6772091,10.601654
7.1527319,5.6774066,10.603742
7.1527586,5.6775465,10.605251
7.1527865,5.6776796,10.606711
7.1528254,5.6778474,10.608586
7.1528839,5.6780705,10.611143
7.1529562,5.6783109,10.613986
7.1530516,5.6785858,10.617353
7.1531696,5.6788781,10.621086
7.1533183,5.6791933,10.625305
7.1535063,5.6795316,10.63009
7.1537441,5.6798911,10.635514
