#.t	.Temp_air	
#d	degC
0	2
0.0034722	2
0.0069444	2
0.0104167	2
0.0138889	2
0.0173611	2
0.0208333	2
0.0243056	2
0.0277778	2
0.03125	2
0.0347222	2
0.0381944	2
0.0416667	2
0.0451389	2
0.0486111	2
0.0520833	2
0.0555556	2
0.0590278	2
0.0625	2
0.0659722	2
0.0694444	2
0.0729167	2
0.0763889	2
0.0798611	2
0.0833333	2
0.0868056	2
0.0902778	2
0.09375	2
0.0972222	2
0.1006944	2
0.1041667	2
0.1076389	2
0.1111111	2
0.1145833	2
0.1180556	2
0.1215278	2
0.125	2
0.1284722	2
0.1319444	2
0.1354167	2
0.1388889	2
0.1423611	2
0.1458333	2
0.1493056	2
0.1527778	2
0.15625	2
0.1597222	2
0.1631944	2
0.1666667	2
0.1701389	2
0.1736111	2
0.1770833	2
0.1805556	2
0.1840278	2
0.1875	2
0.1909722	2
0.1944444	2
0.1979167	2
0.2013889	2
0.2048611	2
0.2083333	2
0.2118056	2
0.2152778	2
0.21875	2
0.2222222	2
0.2256944	2
0.2291667	2
0.2326389	2
0.2361111	2
0.2395833	2
0.2430556	2
0.2465278	2
0.25	2
0.2534722	2
0.2569444	2
0.2604167	2
0.2638889	2
0.2673611	2
0.2708333	2
0.2743056	2
0.2777778	2
0.28125	2
0.2847222	2
0.2881944	2
0.2916667	2
0.2951389	2
0.2986111	2
0.3020833	2
0.3055556	2
0.3090278	2
0.3125	2
0.3159722	2
0.3194444	2
0.3229167	2
0.3263889	2
0.3298611	2
0.3333333	2
0.3368056	2
0.3402778	2
0.34375	2
0.3472222	2
0.3506944	2
0.3541667	2
0.3576389	2
0.3611111	2
0.3645833	2
0.3680556	2
0.3715278	2
0.375	2
0.3784722	2
0.3819444	2
0.3854167	2
0.3888889	2
0.3923611	2
0.3958333	2
0.3993056	2
0.4027778	2
0.40625	2
0.4097222	2
0.4131944	2
0.4166667	2
0.4201389	2
0.4236111	2
0.4270833	2
0.4305556	2
0.4340278	2
0.4375	2
0.4409722	2
0.4444444	2
0.4479167	2
0.4513889	2
0.4548611	2
0.4583333	2
0.4618056	2
0.4652778	2
0.46875	2
0.4722222	2
0.4756944	2
0.4791667	2
0.4826389	2
0.4861111	2
0.4895833	2
0.4930556	2
0.4965278	2
0.5	2
0.5034722	2
0.5069444	2
0.5104167	2
0.5138889	2
0.5173611	2
0.5208333	2
0.5243056	2
0.5277778	2
0.53125	2
0.5347222	2
0.5381944	2
0.5416667	2
0.5451389	2
0.5486111	2
0.5520833	2
0.5555556	2
0.5590278	2
0.5625	2
0.5659722	2
0.5694444	2
0.5729167	2
0.5763889	2
0.5798611	2
0.5833333	2
0.5868056	2
0.5902778	2
0.59375	2
0.5972222	2
0.6006944	2
0.6041667	2
0.6076389	2
0.6111111	2
0.6145833	2
0.6180556	2
0.6215278	2
0.625	2
0.6284722	2
0.6319444	2
0.6354167	2
0.6388889	2
0.6423611	2
0.6458333	2
0.6493056	2
0.6527778	2
0.65625	2
0.6597222	2
0.6631944	2
0.6666667	2
0.6701389	2
0.6736111	2
0.6770833	2
0.6805556	2
0.6840278	2
0.6875	2
0.6909722	2
0.6944444	2
0.6979167	2
0.7013889	2
0.7048611	2
0.7083333	2
0.7118056	2
0.7152778	2
0.71875	2
0.7222222	2
0.7256944	2
0.7291667	2
0.7326389	2
0.7361111	2
0.7395833	2
0.7430556	2
0.7465278	2
0.75	2
0.7534722	2
0.7569444	2
0.7604167	2
0.7638889	2
0.7673611	2
0.7708333	2
0.7743056	2
0.7777778	2
0.78125	2
0.7847222	2
0.7881944	2
0.7916667	2
0.7951389	2
0.7986111	2
0.8020833	2
0.8055556	2
0.8090278	2
0.8125	2
0.8159722	2
0.8194444	2
0.8229167	2
0.8263889	2
0.8298611	2
0.8333333	2
0.8368056	2
0.8402778	2
0.84375	2
0.8472222	2
0.8506944	2
0.8541667	2
0.8576389	2
0.8611111	2
0.8645833	2
0.8680556	2
0.8715278	2
0.875	2
0.8784722	2
0.8819444	2
0.8854167	2
0.8888889	2
0.8923611	2
0.8958333	2
0.8993056	2
0.9027778	2
0.90625	2
0.9097222	2
0.9131944	2
0.9166667	2
0.9201389	2
0.9236111	2
0.9270833	2
0.9305556	2
0.9340278	2
0.9375	2
0.9409722	2
