#.t	.Temp	
#d	degC
0	12.300926
0.0034722	12.30787
0.0069444	12.314815
0.0104167	12.310185
0.0138889	12.314815
0.0173611	12.321759
0.0208333	12.30787
0.0243056	12.291666
0.0277778	12.30324
0.03125	12.314814
0.0347222	12.317129
0.0381944	12.314815
0.0416667	12.328704
0.0451389	12.310185
0.0486111	12.335648
0.0520833	12.333333
0.0555556	12.328703
0.0590278	12.324074
0.0625	12.319444
0.0659722	12.331018
0.0694444	12.326389
0.0729167	12.340277
0.0763889	12.317129
0.0798611	12.331018
0.0833333	12.319444
0.0868056	12.335648
0.0902778	12.342592
0.09375	12.333333
0.0972222	12.337963
0.1006944	12.335648
0.1041667	12.328704
0.1076389	12.349537
0.1111111	12.358796
0.1145833	12.342592
0.1180556	12.335648
0.1215278	12.347222
0.125	12.36574
0.1284722	12.351852
0.1319444	12.381944
0.1354167	12.361111
0.1388889	12.363426
0.1423611	12.368055
0.1458333	12.363426
0.1493056	12.391203
0.1527778	12.36574
0.15625	12.361111
0.1597222	12.37037
0.1631944	12.379629
0.1666667	12.384259
0.1701389	12.368055
0.1736111	12.384259
0.1770833	12.372685
0.1805556	12.37037
0.1840278	12.368055
0.1875	12.372685
0.1909722	12.368055
0.1944444	12.372685
0.1979167	12.384259
0.2013889	12.388889
0.2048611	12.400462
0.2083333	12.395833
0.2118056	12.400463
0.2152778	12.395833
0.21875	12.407407
0.2222222	12.407407
0.2256944	12.395833
0.2291667	12.388889
0.2326389	12.388889
0.2361111	12.398148
0.2395833	12.395833
0.2430556	12.393518
0.2465278	12.384259
0.25	12.409722
0.2534722	12.384259
0.2569444	12.37963
0.2604167	12.395833
0.2638889	12.414351
0.2673611	12.418981
0.2708333	12.409722
0.2743056	12.398148
0.2777778	12.405092
0.28125	12.381944
0.2847222	12.398148
0.2881944	12.402777
0.2916667	12.43287
0.2951389	12.412036
0.2986111	12.407407
0.3020833	12.423611
0.3055556	12.425925
0.3090278	12.42824
0.3125	12.43287
0.3159722	12.43287
0.3194444	12.423611
0.3229167	12.437499
0.3263889	12.421296
0.3298611	12.425926
0.3333333	12.414352
0.3368056	12.43287
0.3402778	12.442129
0.34375	12.418981
0.3472222	12.414351
0.3506944	12.439814
0.3541667	12.42824
0.3576389	12.43287
0.3611111	12.442129
0.3645833	12.4375
0.3680556	12.442129
0.3715278	12.425925
0.375	12.430555
0.3784722	12.451388
0.3819444	12.444444
0.3854167	12.444444
0.3888889	12.435185
0.3923611	12.43287
0.3958333	12.439814
0.3993056	12.425926
0.4027778	12.435185
0.40625	12.444444
0.4097222	12.444444
0.4131944	12.43287
0.4166667	12.439814
0.4201389	12.439814
0.4236111	12.451388
0.4270833	12.451388
0.4305556	12.451388
0.4340278	12.456018
0.4375	12.412036
0.4409722	12.449073
0.4444444	12.444444
0.4479167	12.465277
0.4513889	12.453703
0.4548611	12.444444
0.4583333	12.449073
0.4618056	12.449073
0.4652778	12.474536
0.46875	12.453703
0.4722222	12.467592
0.4756944	12.462963
0.4791667	12.462962
0.4826389	12.442129
0.4861111	12.462962
0.4895833	12.453703
0.4930556	12.474536
0.4965278	12.474536
0.5	12.458333
0.5034722	12.462962
0.5069444	12.469907
0.5104167	12.488425
0.5138889	12.479166
0.5173611	12.462962
0.5208333	12.460647
0.5243056	12.458333
0.5277778	12.469907
0.53125	12.469907
0.5347222	12.469907
0.5381944	12.469907
0.5416667	12.476851
0.5451389	12.467592
0.5486111	12.467592
0.5520833	12.465277
0.5555556	12.481481
0.5590278	12.49074
0.5625	12.483796
0.5659722	12.486111
0.5694444	12.49537
0.5729167	12.476852
0.5763889	12.497685
0.5798611	12.497685
0.5833333	12.511574
0.5868056	12.488425
0.5902778	12.504629
0.59375	12.49537
0.5972222	12.506944
0.6006944	12.49537
0.6041667	12.483796
0.6076389	12.506944
0.6111111	12.497685
0.6145833	12.488425
0.6180556	12.49537
0.6215278	12.506944
0.625	12.49537
0.6284722	12.506944
0.6319444	12.488426
0.6354167	12.511574
0.6388889	12.502314
0.6423611	12.493055
0.6458333	12.499999
0.6493056	12.511574
0.6527778	12.493055
0.65625	12.502314
0.6597222	12.497685
0.6631944	12.525463
0.6666667	12.532407
0.6701389	12.5
0.6736111	12.518518
0.6770833	12.509259
0.6805556	12.518518
0.6840278	12.509259
0.6875	12.527777
0.6909722	12.520833
0.6944444	12.511574
0.6979167	12.548611
0.7013889	12.511574
0.7048611	12.520833
0.7083333	12.530092
0.7118056	12.520833
0.7152778	12.530092
0.71875	12.520833
0.7222222	12.530092
0.7256944	12.537037
0.7291667	12.548611
0.7326389	12.55324
0.7361111	12.532407
0.7395833	12.543981
0.7430556	12.539352
0.7465278	12.534722
0.75	12.530092
0.7534722	12.546296
0.7569444	12.527777
0.7604167	12.530092
0.7638889	12.555555
0.7673611	12.553241
0.7708333	12.541666
0.7743056	12.543981
0.7777778	12.560185
0.78125	12.55324
0.7847222	12.55787
0.7881944	12.5625
0.7916667	12.5625
0.7951389	12.55787
0.7986111	12.564815
0.8020833	12.55787
0.8055556	12.55324
0.8090278	12.564814
0.8125	12.574074
0.8159722	12.576389
