#.t	.in_2
#d	degC
0	10.6
1	11
2	11.1
3	11.8
4	12.3
5	12.5
6	12.6
7	12.7
8	12.8
9	12.5
10	12.3
11	12.1
12	12
13	11.9
14	11.9
15	11.8
16	11.7
17	11.6
18	11.7
19	11.5
20	11.2
21	11.3
22	11.3
23	11.3
24	11.2
25	11.2
26	11.1
27	9.2
28	8.8
29	9.5
30	10
31	10.3
32	9.5
33	9
34	9.7
35	10.4
36	8.8
37	8.5
38	9.2
39	9.6
40	10
41	10.2
42	10.2
43	10.3
44	10.5
45	10.5
46	10.2
47	10.2
48	10.5
49	10.6
50	10.7
51	10.7
52	10.6
53	10.5
54	10.4
55	10.4
56	10.1
57	9.7
58	10
59	10.3
60	10.5
61	10.6
62	10.7
63	10.8
64	10.9
65	11.1
66	11.4
67	11.6
68	10.8
69	10.3
70	10.3
71	10.4
72	10.6
73	10.8
74	10.9
75	11
76	11.1
77	11.2
78	11.2
79	10
80	9.6
81	10.1
82	10.2
83	10.2
84	10.3
85	10.5
86	10.7
87	10.9
88	11
89	11
90	11
91	11
92	11
93	11.1
94	11.1
95	11.2
96	11.3
97	11.4
98	11.6
99	11.7
100	11.8
101	10.8
102	11.2
103	11.7
104	12.2
105	12.5
106	12.7
107	13
108	13.2
109	12.9
110	12.8
111	13
112	13.2
113	13.4
114	13.7
115	14
116	13.5
117	13.2
118	13.5
119	13.6
120	13.8
121	14
122	14.2
123	14.4
124	14.6
125	14.8
126	14.9
127	15.1
128	15.3
129	15.3
130	15.2
131	15.1
132	14.9
133	14.9
134	15
135	15.2
136	14.5
137	13.8
138	13.5
139	14.3
140	14.7
141	14.8
142	14.7
143	14.4
144	14.3
145	14.7
146	14.5
147	14.8
148	15.3
149	14.7
150	14.6
151	15.2
152	15.4
153	15.6
154	15.7
155	15.9
156	16.1
157	16.4
158	16.6
159	16.7
160	16.7
161	16.7
162	16.9
163	17.1
164	17.2
165	17.2
166	17.4
167	17.4
168	17.5
169	17.9
170	18.3
171	18.4
172	18.3
173	18.3
174	18.2
175	18
176	18
177	18.1
178	17.2
179	16.7
180	16.5
181	17
182	17.5
183	17.9
184	18
185	18.2
186	18.3
187	18.6
188	18.7
189	18.8
190	18.8
191	18.7
192	18.8
193	18.8
194	18.9
195	19
196	19.2
197	19.4
198	19.5
199	19.7
200	19.8
201	19.8
202	21.1
203	23.6
204	20.8
205	20.7
206	20.7
207	20.8
208	20.9
209	21
210	21.1
211	21.1
212	21.1
213	21.4
214	21.5
215	21.5
216	21.4
217	21.5
218	21.5
219	21
220	20.9
221	21
222	21.1
223	20.8
224	20.2
225	20.5
226	20.7
227	20.7
228	21
229	21
230	21
231	20.8
232	20.8
233	20.9
234	21
235	21.1
236	21
237	20.6
238	20.2
239	20.6
240	20.8
241	20.8
242	20.8
243	20.8
244	20.6
245	20.5
246	20.6
247	20.8
248	20.9
249	21.1
250	20.9
251	18.3
252	18.1
253	16.5
254	17.1
255	18.1
256	18.6
257	18.5
258	18.5
259	18.4
260	18.4
261	18.6
262	18.6
263	18.8
264	19
265	19.1
266	19.3
267	19.4
268	19.4
269	19.4
270	19.3
271	19.1
272	18.9
273	18.8
274	18.8
275	18.7
276	18.6
277	17.8
278	17.9
279	18.3
280	18.5
281	18.7
282	18.6
283	17.8
284	17.5
285	16.9
286	13.8
287	14.5
288	15.5
289	15.8
290	16.3
291	16.6
292	17
293	17.3
294	17.4
295	17.4
296	17.4
297	17.4
298	17.4
299	17.4
300	17.4
301	16.6
302	16.4
303	16.8
304	17
305	17
306	14.4
307	15
308	14.2
309	14.2
310	14.5
311	14.7
312	14.4
313	14
314	13.8
315	14
316	14.7
317	15.1
318	14.9
319	14
320	14.4
321	14.8
322	15
323	15.1
324	15
325	14.9
326	14.7
327	14.8
328	14.8
329	14.8
330	14.9
331	14.9
332	15
333	14.5
334	13.6
335	13.8
336	14.2
337	14.2
338	14.3
339	14
340	13.1
341	13.1
342	13.2
343	13.4
344	13.7
345	13.7
346	13.8
347	13.7
348	12.6
349	12.6
350	13.1
351	13.4
352	13.6
353	12.8
354	12.7
355	13
356	12.9
357	12.4
358	12.1
359	10.4
360	11.1
361	11.7
362	10.2
363	10.8
364	11.6
365	10.9
