#.t	H2O	S_ALK	S_I	S_ND	S_NH	S_NO	S_O	S_S	X_BA	X_BH	X_I	X_ND	X_P	X_S
#d	m3/d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3
0	21477	30	30	6.246547	34.67942	0.001	0.001	62.46546	0.001	31.425	58.476	11.814	0.001	224.352
0.01042	21474	30	30	5.374197	32.06695	0.001	0.001	53.74197	0.001	31.42	58.459	11.812	0.001	224.324
0.02083	19620	30	30	5.444886	29.89975	0.001	0.001	54.44886	0.001	30.827	53.069	11.589	0.001	224.373
0.03125	19334	30	30	5.006769	27.06813	0.001	0.001	50.06769	0.001	30.27	51.462	11.38	0.001	220.973
0.04167	18978	30	30	4.635457	24.70265	0.001	0.001	46.35457	0.001	29.719	49.73	11.172	0.001	217.74
0.05208	18321	30	30	4.435819	23.38772	0.001	0.001	44.35819	0.001	29.059	47.194	10.925	0.001	214.339
0.0625	17855	30	30	4.257931	22.19802	0.001	0.001	42.57931	0.001	29.676	47.16	11.156	0.001	219.925
0.07292	17237	30	30	4.000033	20.31607	0.001	0.001	40.00033	0.001	28.602	44.126	10.753	0.001	213.292
0.08333	16453	30	30	4.038873	20.54218	0.001	0.001	40.38873	0.001	27.556	40.893	10.36	0.001	207.115
0.09375	16548	30	30	4.077713	20.71611	0.001	0.001	40.77713	0.001	26.776	39.927	10.066	0.001	201.059
0.10417	16295	30	30	4.046641	20.7509	0.001	0.001	40.46641	0.001	26.051	38.351	9.794	0.001	196.112
0.11458	14743	30	30	4.083539	20.66393	0.001	0.001	40.83539	0.001	24.946	33.82	9.378	0.001	190.698
0.125	13613	30	30	4.046641	20.61175	0.001	0.001	40.46641	0.001	23.705	30.127	8.912	0.001	183.215
0.13542	12807	30	30	4.050525	20.54218	0.001	0.001	40.50525	0.001	22.453	27.179	8.441	0.001	174.894
0.14583	12173	30	30	4.052467	20.43782	0.001	0.001	40.52467	0.001	21.235	24.696	7.983	0.001	166.418
0.15625	11533	30	30	4.031105	20.40303	0.001	0.001	40.31105	0.001	20.036	22.34	7.532	0.001	157.98
0.16667	12198	30	30	4.011685	20.15953	0.001	0.001	40.11685	0.001	19.243	22.416	7.234	0.001	150.774
0.17708	11640	30	30	4.004694	20.02734	0.001	0.001	40.04693	0.001	18.381	20.641	6.91	0.001	144.789
0.1875	11978	30	30	4.034212	19.99951	0.001	0.001	40.34212	0.001	17.747	20.38	6.672	0.001	139.342
0.19792	13272	30	30	4.058293	20.10039	0.001	0.001	40.58293	0.001	17.566	21.877	6.604	0.001	136.217
0.20833	12452	30	30	4.089365	20.40303	0.001	0.001	40.89365	0.001	17.123	20.272	6.437	0.001	133.834
0.21875	13453	30	30	4.116553	20.82047	0.001	0.001	41.16553	0.001	17.031	21.441	6.403	0.001	131.837
0.22917	13815	30	30	4.186465	21.16834	0.001	0.001	41.86465	0.001	17.025	21.895	6.4	0.001	131.328
0.23958	13803	30	30	4.242395	21.6136	0.001	0.001	42.42395	0.001	16.995	21.843	6.389	0.001	131.113
0.25	12514	30	30	4.394649	22.1354	0.001	0.001	43.94649	0.001	16.595	19.724	6.239	0.001	129.632
0.26042	12542	30	30	4.877432	24.68178	0.001	0.001	48.77431	0.001	16.291	19.397	6.124	0.001	127.223
