#.t	.Inflow(H2O)	.Inflow(S_A)	.Inflow(S_ALK)	.Inflow(S_Al)	.Inflow(S_F)	.Inflow(S_I)	.Inflow(S_N2)	.Inflow(S_NH)	.Inflow(S_NO)	.Inflow(S_O)	.Inflow(S_PO)	.Inflow(X_AUT)	.Inflow(X_H)	.Inflow(X_I)	.Inflow(X_I_i)	.Inflow(X_MEOH)	.Inflow(X_MEP)	.Inflow(X_PAO)	.Inflow(X_PHA)	.Inflow(X_PP)	.Inflow(X_S)	.Inflow(X_TSS)	.Influent_Load(H2O)	.Influent_Load(S_A)	.Influent_Load(S_ALK)	.Influent_Load(S_Al)	.Influent_Load(S_F)	.Influent_Load(S_I)	.Influent_Load(S_N2)	.Influent_Load(S_NH)	.Influent_Load(S_NO)	.Influent_Load(S_O)	.Influent_Load(S_PO)	.Influent_Load(X_AUT)	.Influent_Load(X_H)	.Influent_Load(X_I)	.Influent_Load(X_I_i)	.Influent_Load(X_MEOH)	.Influent_Load(X_MEP)	.Influent_Load(X_PAO)	.Influent_Load(X_PHA)	.Influent_Load(X_PP)	.Influent_Load(X_S)	.Influent_Load(X_TSS)
#d																																												
220.42914	0	0	0	0	0	0	0	40.25878906	0	0	7.854011516	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.43262	0	0	0	0	0	0	0	40.01464844	0	0	7.848	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.43609	0	0	0	0	0	0	0	40.38085938	0	0	7.841	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.43956	0	0	0	0	0	0	0	40.45410156	0	0	7.8245	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.44303	0	0	0	0	0	0	0	40.40527344	0	0	7.808	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.44651	0	0	0	0	0	0	0	40.4296875	0	0	7.791523741	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.44998	0	0	0	0	0	0	0	40.47851563	0	0	7.775	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.45345	0	0	0	0	0	0	0	40.60058594	0	0	7.676	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.45692	0	0	0	0	0	0	0	40.47851563	0	0	7.701	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.46039	0	0	0	0	0	0	0	40.57617188	0	0	7.675536691	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.46387	0	0	0	0	0	0	0	40.60058594	0	0	7.65	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.46734	0	0	0	0	0	0	0	40.77148438	0	0	7.555	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.47081	0	0	0	0	0	0	0	40.80200195	0	0	7.496	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.47428	0	0	0	0	0	0	0	40.69824219	0	0	7.465	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.47776	0	0	0	0	0	0	0	40.79589844	0	0	7.434	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.48123	0	0	0	0	0	0	0	40.69824219	0	0	7.441	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.4847	0	0	0	0	0	0	0	40.60058594	0	0	7.522	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
220.48817	0	0	0	0	0	0	0	40.86914063	0	0	7.438	0	0	0	0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
