#.t	CODs	CODt	NH	PO	TSS	Water
#d	g/m3	g/m3	g/m3	g/m3	g/m3	m3/d
220.42914	201.246	571.38	40.29	8.16	257.744	89509.47840000001
220.43262	201.246	571.38	40.29	8.16	257.744	77793.0024
220.43609	201.246	571.38	40.29	8.16	257.744	55867.3392
220.43956	201.246	571.38	40.29	8.16	257.744	84753.82799999999
220.44303	201.246	571.38	40.29	8.16	257.744	80918.58719999999
220.44651	201.246	571.38	40.29	8.16	257.744	93677.63280000001
220.44998	201.246	571.38	40.29	8.16	257.744	116161.5888
220.45345	201.246	571.38	40.29	8.16	257.744	86012.2608
220.45692	201.246	571.38	40.29	8.16	257.744	96731.9952
220.46039	215.057	642	43.055	8.720000000000001	289.6	115042.3272
220.46387	215.057	642	43.055	8.720000000000001	289.6	51107.5848
220.46734	215.057	642	43.055	8.720000000000001	289.6	77676.12
220.47081	215.057	642	43.055	8.720000000000001	289.6	121091.7408
220.47428	215.057	642	43.055	8.720000000000001	289.6	86825.916
220.47776	215.057	642	43.055	8.720000000000001	289.6	97179.276
220.48123	215.057	642	43.055	8.720000000000001	289.6	115601.2368
220.4847	215.057	642	43.055	8.720000000000001	289.6	83253.3
220.48817	215.057	642	43.055	8.720000000000001	289.6	95706.2496
220.49164	215.057	642	43.055	8.720000000000001	289.6	85102.9008
220.49512	215.057	642	43.055	8.720000000000001	289.6	29376.9888
220.49859	215.057	642	43.055	8.720000000000001	289.6	39271.4208
220.50206	222.949	706.2	44.635	9.039999999999999	318.56	94138.1256
220.50553	222.949	706.2	44.635	9.039999999999999	318.56	85705.3536
220.50901	222.949	706.2	44.635	9.039999999999999	318.56	99731.4528
220.51248	222.949	706.2	44.635	9.039999999999999	318.56	122766.2904
220.51595	222.949	706.2	44.635	9.039999999999999	318.56	119758.0728
220.51942	222.949	706.2	44.635	9.039999999999999	318.56	117390.192
220.52289	222.949	706.2	44.635	9.039999999999999	318.56	115658.724
220.52637	222.949	706.2	44.635	9.039999999999999	318.56	86501.5488
220.52984	222.949	706.2	44.635	9.039999999999999	318.56	97735.1256
220.53331	222.949	706.2	44.635	9.039999999999999	318.56	117721.4496
220.53678	222.949	706.2	44.635	9.039999999999999	318.56	117230.196
220.54026	222.949	706.2	44.635	9.039999999999999	318.56	114979.4976
220.54373	217.03	738.3	43.45	8.800000000000001	333.04	84511.9728
220.5472	217.03	738.3	43.45	8.800000000000001	333.04	95717.8848
220.55067	217.03	738.3	43.45	8.800000000000001	333.04	115245.3432
220.55414	217.03	738.3	43.45	8.800000000000001	333.04	82891.632
220.55762	217.03	738.3	43.45	8.800000000000001	333.04	61919.34
220.56109	217.03	738.3	43.45	8.800000000000001	333.04	96674.35920000001
220.56456	217.03	738.3	43.45	8.800000000000001	333.04	117701.16
220.56803	217.03	738.3	43.45	8.800000000000001	333.04	85694.7696
220.57151	217.03	738.3	43.45	8.800000000000001	333.04	97200.3432
220.57498	217.03	738.3	43.45	8.800000000000001	333.04	116644.8192
220.57845	217.03	738.3	43.45	8.800000000000001	333.04	84897.4344
220.58192	217.03	738.3	43.45	8.800000000000001	333.04	97225.33440000001
220.58539	205.192	757.5599999999999	41.08	8.32	341.728	116557.668
220.58887	205.192	757.5599999999999	41.08	8.32	341.728	84215.48639999999
220.59234	205.192	757.5599999999999	41.08	8.32	341.728	95866.3704
220.59581	205.192	757.5599999999999	41.08	8.32	341.728	106416.6744
220.59928	205.192	757.5599999999999	41.08	8.32	341.728	100096.9104
220.60275	205.192	757.5599999999999	41.08	8.32	341.728	100212.7752
220.60623	205.192	757.5599999999999	41.08	8.32	341.728	101773.5096
220.6097	205.192	757.5599999999999	41.08	8.32	341.728	106935.828
220.61317	205.192	757.5599999999999	41.08	8.32	341.728	113750.0736
220.61664	205.192	757.5599999999999	41.08	8.32	341.728	108459.84
220.62012	205.192	757.5599999999999	41.08	8.32	341.728	103674.864
220.62359	205.192	757.5599999999999	41.08	8.32	341.728	105076.4184
220.62706	201.246	757.5599999999999	40.29	8.16	341.728	104593.2144
220.63053	201.246	757.5599999999999	40.29	8.16	341.728	139757.4792
220.634	201.246	757.5599999999999	40.29	8.16	341.728	130705.1424
220.63748	201.246	757.5599999999999	40.29	8.16	341.728	105072.7056
220.64095	201.246	757.5599999999999	40.29	8.16	341.728	103837.4328
220.64442	201.246	757.5599999999999	40.29	8.16	341.728	104078.6376
220.64789	201.246	757.5599999999999	40.29	8.16	341.728	144149.4432
220.65137	200.94436	757.5599999999999	40.206126	8.147769200000001	341.728	131212.8624
