#.t	.Inflow(H2O)	.Inflow(S_A)	.Inflow(S_ALK)	.Inflow(S_Al)	.Inflow(S_F)	.Inflow(S_I)	.Inflow(S_N2)	.Inflow(S_NH)	.Inflow(S_NO)	.Inflow(S_O)	.Inflow(S_PO)	.Inflow(X_AUT)	.Inflow(X_H)	.Inflow(X_I)	.Inflow(X_I_i)	.Inflow(X_MEOH)	.Inflow(X_MEP)	.Inflow(X_PAO)	.Inflow(X_PHA)	.Inflow(X_PP)	.Inflow(X_S)	.Inflow(X_TSS)	.Influent_Load(H2O)	.Influent_Load(S_A)	.Influent_Load(S_ALK)	.Influent_Load(S_Al)	.Influent_Load(S_F)	.Influent_Load(S_I)	.Influent_Load(S_N2)	.Influent_Load(S_NH)	.Influent_Load(S_NO)	.Influent_Load(S_O)	.Influent_Load(S_PO)	.Influent_Load(X_AUT)	.Influent_Load(X_H)	.Influent_Load(X_I)	.Influent_Load(X_I_i)	.Influent_Load(X_MEOH)	.Influent_Load(X_MEP)	.Influent_Load(X_PAO)	.Influent_Load(X_PHA)	.Influent_Load(X_PP)	.Influent_Load(X_S)	.Influent_Load(X_TSS)
#d																																												
220.42914	89509.4784	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-89509478400	-4503356.1225216	-0	-0	-6755034.1837824	-6755034.1837824	-0	-3606336.884736	-0	-0	-730397.343744	-0	-0	-10270455.3962127	-5998338.0601897	-0	-0	-0	-0	-0	-22860045.8818929	-23070531.0007296
220.43262	77793.0024	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-77793002400	-3913882.6402476	-0	-0	-5870823.9603714	-5870823.9603714	-0	-3134280.066696	-0	-0	-634790.899584	-0	-0	-8926088.8965997	-5213176.69875226	-0	-0	-0	-0	-0	-19867746.2537219	-20050679.6105856
220.43609	55867.3392	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-55867339200	-2810769.6361608	-0	-0	-4216154.4542412	-4216154.4542412	-0	-2250895.096368	-0	-0	-455877.487872	-0	-0	-6410304.53551037	-3743862.58343885	-0	-0	-0	-0	-0	-14268097.1919424	-14399471.4747648
220.43956	84753.828	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-84753828000	-4264092.217422	-0	-0	-6396138.326133	-6396138.326133	-0	-3414731.73012	-0	-0	-691591.23648	-0	-0	-9724784.74561512	-5679645.56744832	-0	-0	-0	-0	-0	-21645488.6273369	-21844790.644032
220.44303	80918.5872	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-80918587200	-4071135.4999128	-0	-0	-6106703.2498692	-6106703.2498692	-0	-3260209.878288	-0	-0	-660295.671552	-0	-0	-9284723.30995229	-5422632.88821197	-0	-0	-0	-0	-0	-20665997.0447325	-20856280.3392768
220.44651	93677.6328	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-93677632800	-4713062.2226172	-0	-0	-7069593.3339258	-7069593.3339258	-0	-3774271.825512	-0	-0	-764409.483648	-0	-0	-10748715.8510265	-6277660.42498483	-0	-0	-0	-0	-0	-23924561.0877687	-24144847.7884032
220.44998	116161.5888	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-116161588800	-5844263.7749112	-0	-0	-8766395.6623668	-8766395.6623668	-0	-4680150.412752	-0	-0	-947878.564608	-0	-0	-13328559.5877588	-7784387.66135347	-0	-0	-0	-0	-0	-29666793.9211404	-29939952.5436672
220.45345	86012.2608	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-86012260800	-4327405.8592392	-0	-0	-6491108.7888588	-6491108.7888588	-0	-3465433.987632	-0	-0	-701860.048128	-0	-0	-9869179.26307363	-5763977.47838515	-0	-0	-0	-0	-0	-21966882.8758736	-22169144.1476352
220.45692	96731.9952	50.3115	0	0	75.46725	75.46725	0	40.29	0	0	8.16	0	0	114.74154	67.01344	0	0	0	0	0	255.39246	257.744	-96731995200	-4866731.7765048	-0	-0	-7300097.6647572	-7300097.6647572	-0	-3897332.086608	-0	-0	-789333.080832	-0	-0	-11099178.0965206	-6482343.75641549	-0	-0	-0	-0	-0	-24704622.2148362	-24932091.3708288
220.46039	115042.3272	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-115042327200	-6185164.4401626	-0	-0	-9277746.6602439	-9277746.6602439	-0	-4953147.397596	-0	-0	-1003169.093184	-0	-0	-15226120.0535424	-8662227.0688512	-0	-0	-0	-0	-0	-33890396.2482072	-33316257.95712
220.46387	51107.5848	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-51107584800	-2747760.9660834	-0	-0	-4121641.4491251	-4121641.4491251	-0	-2200437.063564	-0	-0	-445658.139456	-0	-0	-6764207.92895258	-3848196.7051008	-0	-0	-0	-0	-0	-15055817.6483138	-14800756.55808
220.46734	77676.12	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-77676120000	-4176198.33471	-0	-0	-6264297.502065	-6264297.502065	-0	-3344345.3466	-0	-0	-677335.7664	-0	-0	-10280615.4673596	-5848701.13152	-0	-0	-0	-0	-0	-22882660.2338004	-22495004.352
220.47081	121091.7408	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-121091740800	-6510406.6253064	-0	-0	-9765609.9379596	-9765609.9379596	-0	-5213604.900144	-0	-0	-1055919.979776	-0	-0	-16026774.0386361	-9117723.7152768	-0	-0	-0	-0	-0	-35672497.0537383	-35068168.13568
220.47428	86825.916	53.76425	0	0	80.646375	80.646375	0	43.055	0	0	8.72	0	0	132.35233	75.296	0	0	0	0	0	294.59067	289.6	-86825916000	-4668130.254303	-0	-0	-7002195.3814545	-7002195.3814545	-0	-3738289.81338	-0	-0	-757121.98752	-0	-0	-11491612.2869843	-6537644.171136	-0	-0	-0	-0	-0	-25578104.7678037	-25144785.2736
