#.t	Pressure
#d	hPa
0	103500
0.0034722	103500
0.0069444	103500
0.0104167	103500
0.0138889	103500
0.0173611	103500
0.0208333	103500
0.0243056	103500
0.0277778	103500
0.03125	103500
0.0347222	103500
0.0381944	103500
0.0416667	103500
0.0451389	103500
0.0486111	103500
0.0520833	103500
0.0555556	103500
0.0590278	103500
0.0625	103500
0.0659722	103500
0.0694444	103500
0.0729167	103500
0.0763889	103500
0.0798611	103500
0.0833333	103500
0.0868056	103500
0.0902778	103500
0.09375	103500
0.0972222	103500
0.1006944	103500
0.1041667	103500
0.1076389	103500
0.1111111	103500
0.1145833	103500
0.1180556	103500
0.1215278	103500
0.125	103500
0.1284722	103500
0.1319444	103500
0.1354167	103500
0.1388889	103500
0.1423611	103500
0.1458333	103500
0.1493056	103500
0.1527778	103500
0.15625	103500
0.1597222	103500
0.1631944	103500
0.1666667	103500
0.1701389	103500
0.1736111	103500
0.1770833	103500
0.1805556	103500
0.1840278	103500
0.1875	103500
0.1909722	103500
0.1944444	103500
0.1979167	103500
0.2013889	103500
0.2048611	103500
0.2083333	103500
0.2118056	103500
0.2152778	103500
0.21875	103500
0.2222222	103500
0.2256944	103500
0.2291667	103500
0.2326389	103500
0.2361111	103500
0.2395833	103500
0.2430556	103500
0.2465278	103500
0.25	103500
0.2534722	103500
0.2569444	103500
0.2604167	103500
0.2638889	103500
0.2673611	103500
0.2708333	103500
0.2743056	103500
0.2777778	103500
0.28125	103500
0.2847222	103500
0.2881944	103500
0.2916667	103500
0.2951389	103500
0.2986111	103500
0.3020833	103500
0.3055556	103500
0.3090278	103500
0.3125	103500
0.3159722	103500
0.3194444	103500
0.3229167	103500
0.3263889	103500
0.3298611	103500
0.3333333	103500
0.3368056	103500
0.3402778	103500
0.34375	103500
0.3472222	103500
0.3506944	103500
0.3541667	103500
0.3576389	103500
0.3611111	103500
0.3645833	103500
0.3680556	103500
0.3715278	103500
0.375	103500
0.3784722	103500
0.3819444	103500
0.3854167	103500
0.3888889	103500
0.3923611	103500
0.3958333	103500
0.3993056	103500
0.4027778	103500
0.40625	103500
0.4097222	103500
0.4131944	103500
0.4166667	103500
0.4201389	103500
0.4236111	103500
0.4270833	103500
0.4305556	103500
0.4340278	103500
0.4375	103500
0.4409722	103500
0.4444444	103500
0.4479167	103500
0.4513889	103500
0.4548611	103500
0.4583333	103500
0.4618056	103500
0.4652778	103500
0.46875	103500
0.4722222	103500
0.4756944	103500
0.4791667	103500
0.4826389	103500
0.4861111	103500
0.4895833	103500
0.4930556	103500
0.4965278	103500
0.5	103500
0.5034722	103500
0.5069444	103500
0.5104167	103500
0.5138889	103500
0.5173611	103500
0.5208333	103500
0.5243056	103500
0.5277778	103500
0.53125	103500
0.5347222	103500
0.5381944	103500
0.5416667	103500
0.5451389	103500
0.5486111	103500
0.5520833	103500
0.5555556	103500
0.5590278	103500
0.5625	103500
0.5659722	103500
0.5694444	103500
0.5729167	103500
0.5763889	103500
0.5798611	103500
0.5833333	103500
0.5868056	103500
0.5902778	103500
0.59375	103500
0.5972222	103500
0.6006944	103500
0.6041667	103500
0.6076389	103500
0.6111111	103500
0.6145833	103500
0.6180556	103500
0.6215278	103500
0.625	103500
0.6284722	103500
0.6319444	103500
0.6354167	103500
0.6388889	103500
0.6423611	103500
0.6458333	103500
0.6493056	103500
0.6527778	103500
0.65625	103500
0.6597222	103500
0.6631944	103500
0.6666667	103500
0.6701389	103500
0.6736111	103500
0.6770833	103500
0.6805556	103500
0.6840278	103500
0.6875	103500
0.6909722	103500
0.6944444	103500
0.6979167	103500
0.7013889	103500
0.7048611	103500
0.7083333	103500
0.7118056	103500
0.7152778	103500
0.71875	103500
0.7222222	103500
0.7256944	103500
0.7291667	103500
0.7326389	103500
0.7361111	103500
0.7395833	103500
0.7430556	103500
0.7465278	103500
0.75	103500
0.7534722	103500
0.7569444	103500
0.7604167	103500
0.7638889	103500
0.7673611	103500
0.7708333	103500
0.7743056	103500
0.7777778	103500
0.78125	103500
0.7847222	103500
0.7881944	103500
0.7916667	103500
0.7951389	103500
0.7986111	103500
0.8020833	103500
0.8055556	103500
0.8090278	103500
0.8125	103500
0.8159722	103500
0.8194444	103500
0.8229167	103500
0.8263889	103500
0.8298611	103500
0.8333333	103500
0.8368056	103500
0.8402778	103500
0.84375	103500
0.8472222	103500
0.8506944	103500
0.8541667	103500
0.8576389	103500
0.8611111	103500
0.8645833	103500
0.8680556	103500
0.8715278	103500
0.875	103500
0.8784722	103500
0.8819444	103500
0.8854167	103500
0.8888889	103500
0.8923611	103500
0.8958333	103500
0.8993056	103500
0.9027778	103500
0.90625	103500
0.9097222	103500
0.9131944	103500
0.9166667	103500
0.9201389	103500
0.9236111	103500
0.9270833	103500
